inf_rate,year,baseyear,yeartype
4.722631579,1975,2018,fiscal
4.44326464,1976,2018,fiscal
4.186898575,1977,2018,fiscal
3.911487862,1978,2018,fiscal
3.545465515,1979,2018,fiscal
3.121531091,1980,2018,fiscal
2.80984624,1981,2018,fiscal
2.616765913,1982,2018,fiscal
2.528032054,1983,2018,fiscal
2.428279047,1984,2018,fiscal
2.34194108,1985,2018,fiscal
2.2858531,1986,2018,fiscal
2.222291265,1987,2018,fiscal
2.134298533,1988,2018,fiscal
2.037377294,1989,2018,fiscal
1.940547786,1990,2018,fiscal
1.847366085,1991,2018,fiscal
1.793311393,1992,2018,fiscal
1.74050874,1993,2018,fiscal
1.695988908,1994,2018,fiscal
1.649684593,1995,2018,fiscal
1.604809639,1996,2018,fiscal
1.563126271,1997,2018,fiscal
1.538018064,1998,2018,fiscal
1.509054381,1999,2018,fiscal
1.462584549,2000,2018,fiscal
1.416945771,2001,2018,fiscal
1.396022918,2002,2018,fiscal
1.364000546,2003,2018,fiscal
1.333058447,2004,2018,fiscal
1.29063434,2005,2018,fiscal
1.244800631,2006,2018,fiscal
1.216278013,2007,2018,fiscal
1.164530903,2008,2018,fiscal
1.168316562,2009,2018,fiscal
1.148960543,2010,2018,fiscal
1.119262485,2011,2018,fiscal
1.092867293,2012,2018,fiscal
1.075358814,2013,2018,fiscal
1.058218242,2014,2018,fiscal
1.054940668,2015,2018,fiscal
1.045238486,2016,2018,fiscal
1.024226503,2017,2018,fiscal
1,2018,2018,fiscal
