Brand Name,Year,brandspend,branddose,brandclaims,nomchngspend,nomchngdose,nomchngclaims,perchngspend,perchngdose,perchngclaims
Abacavir-Lamivudine-Zidovudine,2017,3900972.24,183816,3140,3800215.12,179208,3063,37.71659134361919,38.890625,39.77922077922078
Abelcet,2013,568429.57,60123.51,525,-86375.67999999993,-4550.510000000002,33,-0.1519549378826297,-0.07568603363309967,0.06285714285714294
Abelcet,2014,606670.77,77893.5,526,-86375.67999999993,-4550.510000000002,33,-0.1519549378826297,-0.07568603363309967,0.06285714285714294
Abelcet,2015,407069.88,66248.93,774,-86375.67999999993,-4550.510000000002,33,-0.1519549378826297,-0.07568603363309967,0.06285714285714294
Abelcet,2016,323087.11,30943.9,294,-86375.67999999993,-4550.510000000002,33,-0.1519549378826297,-0.07568603363309967,0.06285714285714294
Abelcet,2017,482053.89,55573,558,-86375.67999999993,-4550.510000000002,33,-0.1519549378826297,-0.07568603363309967,0.06285714285714294
Abilify,2013,2011371372,88800243.19,2748924,-1428569350.6,-70240500.69,-2171165,-0.7102464370761662,-0.7909944631537895,-0.7898235818814925
Abilify,2014,2464644622,92805502.6,2877748,-1428569350.6,-70240500.69,-2171165,-0.7102464370761662,-0.7909944631537895,-0.7898235818814925
Abilify,2015,2033701773,66070827.14,2085674,-1428569350.6,-70240500.69,-2171165,-0.7102464370761662,-0.7909944631537895,-0.7898235818814925
Abilify,2016,1079158461,34140290.19,1108938,-1428569350.6,-70240500.69,-2171165,-0.7102464370761662,-0.7909944631537895,-0.7898235818814925
Abilify,2017,582802021.4,18559742.5,577759,-1428569350.6,-70240500.69,-2171165,-0.7102464370761662,-0.7909944631537895,-0.7898235818814925
Abilify Maintena,2013,14575798.26,10217.9,10211,239725352.24,128410.861,126603,16.44680778121582,12.567245813719062,12.398687689746351
Abilify Maintena,2014,65870475.17,46719.784,44411,239725352.24,128410.861,126603,16.44680778121582,12.567245813719062,12.398687689746351
Abilify Maintena,2015,130013482.9,82511.343,82537,239725352.24,128410.861,126603,16.44680778121582,12.567245813719062,12.398687689746351
Abilify Maintena,2016,183086495.2,107626.908,107250,239725352.24,128410.861,126603,16.44680778121582,12.567245813719062,12.398687689746351
Abilify Maintena,2017,254301150.5,138628.761,136814,239725352.24,128410.861,126603,16.44680778121582,12.567245813719062,12.398687689746351
Abraxane,2013,30007138.57,54262.62,16121,24453151.380000003,4238.985999999997,9793,0.8149111359937311,0.07811981802574208,0.6074685193226226
Abraxane,2014,40455277.81,75946.394,21034,24453151.380000003,4238.985999999997,9793,0.8149111359937311,0.07811981802574208,0.6074685193226226
Abraxane,2015,46869251.18,55279.491,24307,24453151.380000003,4238.985999999997,9793,0.8149111359937311,0.07811981802574208,0.6074685193226226
Abraxane,2016,54780249.93,68676.229,25426,24453151.380000003,4238.985999999997,9793,0.8149111359937311,0.07811981802574208,0.6074685193226226
Abraxane,2017,54460289.95,58501.606,25914,24453151.380000003,4238.985999999997,9793,0.8149111359937311,0.07811981802574208,0.6074685193226226
Absorica,2013,835926.31,39351,824,8945102.37,267644,5162,10.700826452034988,6.801453584407003,6.264563106796117
Absorica,2014,5136130.84,216631,4237,8945102.37,267644,5162,10.700826452034988,6.801453584407003,6.264563106796117
Absorica,2015,5306360.56,220330,4310,8945102.37,267644,5162,10.700826452034988,6.801453584407003,6.264563106796117
Absorica,2016,6411713.97,242554,4690,8945102.37,267644,5162,10.700826452034988,6.801453584407003,6.264563106796117
Absorica,2017,9781028.68,306995,5986,8945102.37,267644,5162,10.700826452034988,6.801453584407003,6.264563106796117
Acamprosate Calcium,2013,610359.29,577968,3728,4684966.49,5117354,35803,7.675751916547384,8.854043822495363,9.603809012875537
Acamprosate Calcium,2014,2451876.8000000003,2636263,17564,4684966.49,5117354,35803,7.675751916547384,8.854043822495363,9.603809012875537
Acamprosate Calcium,2015,4096887.2699999996,4525166.041,30491,4684966.49,5117354,35803,7.675751916547384,8.854043822495363,9.603809012875537
Acamprosate Calcium,2016,5544914.66,5590492,37793,4684966.49,5117354,35803,7.675751916547384,8.854043822495363,9.603809012875537
Acamprosate Calcium,2017,5295325.78,5695322,39531,4684966.49,5117354,35803,7.675751916547384,8.854043822495363,9.603809012875537
Acanya,2013,451461.31,78360.001,1570,436702.66,17414.998999999996,356,0.9673091587848357,0.2222434759795371,0.22675159235668785
Acanya,2014,681796.84,96552,1932,436702.66,17414.998999999996,356,0.9673091587848357,0.2222434759795371,0.22675159235668785
Acanya,2015,833988.03,103630.001,2063,436702.66,17414.998999999996,356,0.9673091587848357,0.2222434759795371,0.22675159235668785
Acanya,2016,793999.27,94795,1883,436702.66,17414.998999999996,356,0.9673091587848357,0.2222434759795371,0.22675159235668785
Acanya,2017,888163.97,95775,1926,436702.66,17414.998999999996,356,0.9673091587848357,0.2222434759795371,0.22675159235668785
Acarbose,2013,2060782.04,4064917.36,46200,455.3800000001211,1581591.3900000001,17823,2.2097436369361567e-4,0.38908328261807523,0.3857792207792208
Acarbose,2014,2282710.08,4119702.1799999997,47678,455.3800000001211,1581591.3900000001,17823,2.2097436369361567e-4,0.38908328261807523,0.3857792207792208
Acarbose,2015,3282757.68,5121383,57507,455.3800000001211,1581591.3900000001,17823,2.2097436369361567e-4,0.38908328261807523,0.3857792207792208
Acarbose,2016,3425395.79,5583044.59,62670,455.3800000001211,1581591.3900000001,17823,2.2097436369361567e-4,0.38908328261807523,0.3857792207792208
Acarbose,2017,2061237.4200000002,5646508.75,64023,455.3800000001211,1581591.3900000001,17823,2.2097436369361567e-4,0.38908328261807523,0.3857792207792208
Accupril,2013,1372.2,1065,23,10422.59,1690,57,7.595532721177671,1.5868544600938965,2.4782608695652173
Accupril,2014,3775.37,1926,49,10422.59,1690,57,7.595532721177671,1.5868544600938965,2.4782608695652173
Accupril,2015,8655.8,3237,78,10422.59,1690,57,7.595532721177671,1.5868544600938965,2.4782608695652173
Accupril,2016,11183.65,3270,74,10422.59,1690,57,7.595532721177671,1.5868544600938965,2.4782608695652173
Accupril,2017,11794.79,2755,80,10422.59,1690,57,7.595532721177671,1.5868544600938965,2.4782608695652173
Acebutolol HCl,2013,112454.77,339645.79000000004,6364,13241.910000000003,84166.20999999996,1276,0.11775320869003614,0.24780583913611864,0.20050282840980516
Acebutolol HCl,2014,104142.41,349192,6333,13241.910000000003,84166.20999999996,1276,0.11775320869003614,0.24780583913611864,0.20050282840980516
Acebutolol HCl,2015,111961.14,401713.601,7308,13241.910000000003,84166.20999999996,1276,0.11775320869003614,0.24780583913611864,0.20050282840980516
Acebutolol HCl,2016,119847.98,407998,7450,13241.910000000003,84166.20999999996,1276,0.11775320869003614,0.24780583913611864,0.20050282840980516
Acebutolol HCl,2017,125696.68000000001,423812,7640,13241.910000000003,84166.20999999996,1276,0.11775320869003614,0.24780583913611864,0.20050282840980516
Acephen,2013,106.91,139,11,3401.9500000000003,2066.141,118,31.82069030025255,14.864323741007194,10.727272727272727
Acephen,2014,42.91,22.423,11,3401.9500000000003,2066.141,118,31.82069030025255,14.864323741007194,10.727272727272727
Acephen,2015,118.81,157.991,37,3401.9500000000003,2066.141,118,31.82069030025255,14.864323741007194,10.727272727272727
Acephen,2016,233.43,235.586,180,3401.9500000000003,2066.141,118,31.82069030025255,14.864323741007194,10.727272727272727
Acephen,2017,3508.86,2205.141,129,3401.9500000000003,2066.141,118,31.82069030025255,14.864323741007194,10.727272727272727
