Brand Name,Year,brandspend,branddose,brandclaims,brandbens,nomchngspend,nomchngdose,nomchngclaims,nomchngbens,perchngspend,perchngdose,perchngclaims,perchngbens
Abilify Maintena,2015,148259378.1,92724.39,92211,14000,240821773.63,123376.91100000001,122819,15593,11.317874109534616,8.339827832117725,8.358445624064244,3.9119417962870044
Abilify Maintena,2016,201856628.4,117247.314,116230,17158,240821773.63,123376.91100000001,122819,15593,11.317874109534616,8.339827832117725,8.358445624064244,3.9119417962870044
Abilify Maintena,2017,262099777.9,138170.611,137513,19579,240821773.63,123376.91100000001,122819,15593,11.317874109534616,8.339827832117725,8.358445624064244,3.9119417962870044
Abraxane,2013,2915287.29,3380,557,161,1778514.3099999996,403,153,36,0.6100648523048305,0.11923076923076924,0.2746858168761221,0.2236024844720497
Abraxane,2014,4546656.69,5000,835,257,1778514.3099999996,403,153,36,0.6100648523048305,0.11923076923076924,0.2746858168761221,0.2236024844720497
Abraxane,2015,4481987.77,4478,824,226,1778514.3099999996,403,153,36,0.6100648523048305,0.11923076923076924,0.2746858168761221,0.2236024844720497
Abraxane,2016,5472304.71,4765.6,890,247,1778514.3099999996,403,153,36,0.6100648523048305,0.11923076923076924,0.2746858168761221,0.2236024844720497
Abraxane,2017,4693801.6,3783,710,197,1778514.3099999996,403,153,36,0.6100648523048305,0.11923076923076924,0.2746858168761221,0.2236024844720497
Absorica,2013,38562.6,1660,43,23,164652.52,4340,93,33,4.269746334531385,2.6144578313253013,2.1627906976744184,1.434782608695652
Absorica,2014,138517.18,5251,111,51,164652.52,4340,93,33,4.269746334531385,2.6144578313253013,2.1627906976744184,1.434782608695652
Absorica,2015,139216.71,5110,113,61,164652.52,4340,93,33,4.269746334531385,2.6144578313253013,2.1627906976744184,1.434782608695652
Absorica,2016,124497.92,3960,89,49,164652.52,4340,93,33,4.269746334531385,2.6144578313253013,2.1627906976744184,1.434782608695652
Absorica,2017,203215.12,6000,136,56,164652.52,4340,93,33,4.269746334531385,2.6144578313253013,2.1627906976744184,1.434782608695652
Acamprosate Calcium,2013,840135.42,792170,4881,2576,3912331.3600000003,3987058.01,25041,8109,4.65678659280905,5.033083820392087,5.130301167793485,3.1479037267080745
Acamprosate Calcium,2014,2922132.52,2978644,18515,7130,3912331.3600000003,3987058.01,25041,8109,4.65678659280905,5.033083820392087,5.130301167793485,3.1479037267080745
Acamprosate Calcium,2015,4203942.33,4512054,28535,10644,3912331.3600000003,3987058.01,25041,8109,4.65678659280905,5.033083820392087,5.130301167793485,3.1479037267080745
Acamprosate Calcium,2016,4100335.98,4419061,27893,10449,3912331.3600000003,3987058.01,25041,8109,4.65678659280905,5.033083820392087,5.130301167793485,3.1479037267080745
Acamprosate Calcium,2017,4752466.78,4779228.01,29922,10685,3912331.3600000003,3987058.01,25041,8109,4.65678659280905,5.033083820392087,5.130301167793485,3.1479037267080745
Acanya,2013,290935.56,46265,888,574,-34494.82999999999,-19575,-390,-299,-0.11856519017475893,-0.42310601966929645,-0.4391891891891892,-0.5209059233449478
Acanya,2014,351156.4,46645,911,572,-34494.82999999999,-19575,-390,-299,-0.11856519017475893,-0.42310601966929645,-0.4391891891891892,-0.5209059233449478
Acanya,2015,360520.84,42010,799,452,-34494.82999999999,-19575,-390,-299,-0.11856519017475893,-0.42310601966929645,-0.4391891891891892,-0.5209059233449478
Acanya,2016,293488.75,33180,630,354,-34494.82999999999,-19575,-390,-299,-0.11856519017475893,-0.42310601966929645,-0.4391891891891892,-0.5209059233449478
Acanya,2017,256440.73,26690,498,275,-34494.82999999999,-19575,-390,-299,-0.11856519017475893,-0.42310601966929645,-0.4391891891891892,-0.5209059233449478
