Brand Name,Year,brandspend,branddose,brandclaims,avgspendperclaim,nomchngspend,nomchngdose,nomchngclaims,nomchngspendperclaim,perchngspend,perchngdose,perchngclaims
A-Hydrocort,2013,2360,117,85,27.764705882352942,6940,-23,-34,154.58823529411762,2.940677966101695,-0.19658119658119655,-0.4
A-Hydrocort,2014,42000,240,181,232.04419889502762,6940,-23,-34,154.58823529411762,2.940677966101695,-0.19658119658119655,-0.4
A-Hydrocort,2015,98000,175,136,720.5882352941177,6940,-23,-34,154.58823529411762,2.940677966101695,-0.19658119658119655,-0.4
A-Hydrocort,2016,21100,74.002,68,310.29411764705884,6940,-23,-34,154.58823529411762,2.940677966101695,-0.19658119658119655,-0.4
A-Hydrocort,2017,9300,94,51,182.35294117647058,6940,-23,-34,154.58823529411762,2.940677966101695,-0.19658119658119655,-0.4
A-Methapred,2013,230000,8373.784,5541,41.508752932683635,-228950,-8133.414,-5369,-35.40410176989294,-0.9954347826086957,-0.9712949366737905,-0.9689586717199061
A-Methapred,2014,86400,27630.984,2260,38.230088495575224,-228950,-8133.414,-5369,-35.40410176989294,-0.9954347826086957,-0.9712949366737905,-0.9689586717199061
A-Methapred,2015,16400,13694.505,1565,10.47923322683706,-228950,-8133.414,-5369,-35.40410176989294,-0.9954347826086957,-0.9712949366737905,-0.9689586717199061
A-Methapred,2016,20000,983.64,656,30.48780487804878,-228950,-8133.414,-5369,-35.40410176989294,-0.9954347826086957,-0.9712949366737905,-0.9689586717199061
A-Methapred,2017,1050,240.37,172,6.104651162790698,-228950,-8133.414,-5369,-35.40410176989294,-0.9954347826086957,-0.9712949366737905,-0.9689586717199061
Abacavir,2013,11140000,1463641.076,24877,447.80319170317966,-6325000,-146077.07599999988,-2089,-236.50777306178946,-0.5677737881508079,-0.09980389208481044,-0.08397314788760701
Abacavir,2014,11356000,1637804.875,28178,403.00943998864363,-6325000,-146077.07599999988,-2089,-236.50777306178946,-0.5677737881508079,-0.09980389208481044,-0.08397314788760701
Abacavir,2015,9820000,1706391,29162,336.7395926205336,-6325000,-146077.07599999988,-2089,-236.50777306178946,-0.5677737881508079,-0.09980389208481044,-0.08397314788760701
Abacavir,2016,7350000,1582737,27053,271.68890696041103,-6325000,-146077.07599999988,-2089,-236.50777306178946,-0.5677737881508079,-0.09980389208481044,-0.08397314788760701
Abacavir,2017,4815000,1317564,22788,211.2954186413902,-6325000,-146077.07599999988,-2089,-236.50777306178946,-0.5677737881508079,-0.09980389208481044,-0.08397314788760701
Abacavir-Lamivudine-Zidovudine,2013,106000,4608,77,1376.6233766233765,3794000,179208,3063,-134.5851600628671,35.79245283018868,38.890625,39.77922077922078
Abacavir-Lamivudine-Zidovudine,2014,8200000,345248,5736,1429.5676429567643,3794000,179208,3063,-134.5851600628671,35.79245283018868,38.890625,39.77922077922078
Abacavir-Lamivudine-Zidovudine,2015,8660000,377127,6327,1368.7371582108424,3794000,179208,3063,-134.5851600628671,35.79245283018868,38.890625,39.77922077922078
Abacavir-Lamivudine-Zidovudine,2016,6220000,276536,4673,1331.0507168842284,3794000,179208,3063,-134.5851600628671,35.79245283018868,38.890625,39.77922077922078
Abacavir-Lamivudine-Zidovudine,2017,3900000,183816,3140,1242.0382165605095,3794000,179208,3063,-134.5851600628671,35.79245283018868,38.890625,39.77922077922078
Abelcet,2013,597000,60123.51,525,1137.142857142857,-115000,-4550.510000000002,33,-273.3435739887352,-0.19262981574539362,-0.07568603363309967,0.06285714285714294
Abelcet,2014,627000,77893.5,526,1192.0152091254754,-115000,-4550.510000000002,33,-273.3435739887352,-0.19262981574539362,-0.07568603363309967,0.06285714285714294
Abelcet,2015,419000,66248.93,774,541.343669250646,-115000,-4550.510000000002,33,-273.3435739887352,-0.19262981574539362,-0.07568603363309967,0.06285714285714294
Abelcet,2016,330000,30943.9,294,1122.4489795918366,-115000,-4550.510000000002,33,-273.3435739887352,-0.19262981574539362,-0.07568603363309967,0.06285714285714294
Abelcet,2017,482000,55573,558,863.7992831541219,-115000,-4550.510000000002,33,-273.3435739887352,-0.19262981574539362,-0.07568603363309967,0.06285714285714294
Abilify,2013,2110000000,88800243.19,2748924,767.5730576763854,-1527000000,-70240500.69,-2171165,241.49819867790768,-0.723696682464455,-0.7909944631537895,-0.7898235818814925
Abilify,2014,2550000000,92805502.6,2877748,886.1095551104544,-1527000000,-70240500.69,-2171165,241.49819867790768,-0.723696682464455,-0.7909944631537895,-0.7898235818814925
Abilify,2015,2090000000,66070827.14,2085674,1002.0741496513837,-1527000000,-70240500.69,-2171165,241.49819867790768,-0.723696682464455,-0.7909944631537895,-0.7898235818814925
Abilify,2016,1100000000,34140290.19,1108938,991.9400363230407,-1527000000,-70240500.69,-2171165,241.49819867790768,-0.723696682464455,-0.7909944631537895,-0.7898235818814925
Abilify,2017,583000000,18559742.5,577759,1009.071256354293,-1527000000,-70240500.69,-2171165,241.49819867790768,-0.723696682464455,-0.7909944631537895,-0.7898235818814925
Abilify Maintena,2013,15300000,10217.9,10211,1498.3840955831945,238700000,128410.861,126603,358.15105432836435,15.601307189542485,12.567245813719062,12.398687689746351
Abilify Maintena,2014,68100000,46719.784,44411,1533.4038864245344,238700000,128410.861,126603,358.15105432836435,15.601307189542485,12.567245813719062,12.398687689746351
Abilify Maintena,2015,134000000,82511.343,82537,1623.5143026763753,238700000,128410.861,126603,358.15105432836435,15.601307189542485,12.567245813719062,12.398687689746351
Abilify Maintena,2016,187000000,107626.908,107250,1743.5897435897436,238700000,128410.861,126603,358.15105432836435,15.601307189542485,12.567245813719062,12.398687689746351
Abilify Maintena,2017,254000000,138628.761,136814,1856.5351499115588,238700000,128410.861,126603,358.15105432836435,15.601307189542485,12.567245813719062,12.398687689746351
Abraxane,2013,31500000,54262.62,16121,1953.9730785931395,23000000,4238.985999999997,9793,149.13720928214047,0.7301587301587302,0.07811981802574208,0.6074685193226226
Abraxane,2014,41800000,75946.394,21034,1987.258723970714,23000000,4238.985999999997,9793,149.13720928214047,0.7301587301587302,0.07811981802574208,0.6074685193226226
Abraxane,2015,48300000,55279.491,24307,1987.0819105607438,23000000,4238.985999999997,9793,149.13720928214047,0.7301587301587302,0.07811981802574208,0.6074685193226226
Abraxane,2016,55900000,68676.229,25426,2198.5369307008573,23000000,4238.985999999997,9793,149.13720928214047,0.7301587301587302,0.07811981802574208,0.6074685193226226
Abraxane,2017,54500000,58501.606,25914,2103.11028787528,23000000,4238.985999999997,9793,149.13720928214047,0.7301587301587302,0.07811981802574208,0.6074685193226226
Absorica,2013,878000,39351,824,1065.5339805825242,8902000,267644,5162,568.27824795072,10.138952164009112,6.801453584407003,6.264563106796117
